Agent Code;Description;Geographic Location;LAT;LONG;Post Code;City
LOJA VALENÇA;Valença;42.02727163782007, -8.639145833728197;42.02727163782007; -8.639145833728197;4930-674;Valença
LOJA VALPAÇOS;Valpaços;41.60545904030639, -7.311423860564058;41.60545904030639; -7.311423860564058;5430-409;Valpaços
LOJA VENDAS NOVAS;Vendas Novas;38.675939,-8.456395;38.675939;-8.456395;7080-185;Vendas Novas
LOJA VILA FLOR;Vila Flor;41.308191732651075, -7.153851689411014;41.308191732651075; -7.153851689411014;5360-331;Vila Flor
LOJA VILA NOVA GAIA;Vila Nova de Gaia;41.1262609,-8.6116033;41.1262609;-8.6116033;4400-217;Vila Nova de Gaia
LOJA VILA REAL;Vila Real;41.3066432182727, -7.74183526057541;41.3066432182727; -7.74183526057541;5000-446;Vila Real
LOJA VISEU;Viseu;40.66335160065712, -7.9153174471066166;40.66335160065712; -7.9153174471066166;3510-044;Viseu
LOJA VISEU 2;Viseu 2;40.658998814792156, -7.91845153158624;40.658998814792156; -7.91845153158624;3510-027;Viseu
MATOSINHOS;Matosinhos;41.18048077867281, -8.688492002220883;41.18048077867281; -8.688492002220883;4450-242;Matosinhos
MELGAÇO;Melgaço;42.11306906010391, -8.258737282583658;42.11306906010391; -8.258737282583658;4960-551;Melgaço
ODIVELAS;Odivelas (Loja Cidadão Odivelas);38.781851, -9.192515;38.781851; -9.192515;2675-626;Odivelas
PENAFIEL;Penafiel (Loja Cidadão Penafiel);41.205286, -8.286793;41.205286; -8.286793;4560-467;PENAFIEL
SANTARÉM;Santarém ;39.2256922,-8.6890213;39.2256922;-8.6890213;2000-213;Santarém
SÃO PEDRO DO SUL;São Pedro do Sul;40.7629851200489, -8.064562431068843;40.7629851200489; -8.064562431068843;3660-452;SÃO PEDRO DO SUL
VASCO FEITEIRA;Almeirim;39.2084381,-8.6298327;39.2084381;-8.6298327;2080-052;Almeirim
VIANA CASTELO;VIANA DO CASTELO;41.69620604504298, -8.821029126953695;41.69620604504298; -8.821029126953695;4900-476;Viana do Castelo
